Date,Open,High,Low,Close,Volume,ti
10-1-2023T15:15,2559.45,2562.65,2556.85,2561.95,516641,71.24488348928674
11-1-2023T9:15,2555.1,2558,2536.85,2538.05,396858,60.04179221588265
11-1-2023T9:30,2538.75,2543.8,2531,2534.6,326931,54.76610593950781
11-1-2023T9:45,2534.6,2536,2528.4,2534.05,255709,52.18307674206534
11-1-2023T10:0,2534.15,2545,2533.55,2544.95,264079,58.41991888699608
11-1-2023T10:15,2544.95,2546,2540,2542.95,164276,59.36161713119211
11-1-2023T10:30,2542.95,2543.8,2540,2540.85,273599,53.96311100034985
11-1-2023T10:45,2540.65,2540.65,2531.1,2535.15,201760,52.60712160951555
11-1-2023T11:0,2535.2,2538.55,2532.45,2538.35,111692,52.74035719255047
11-1-2023T11:15,2538.35,2538.35,2536,2538.15,88270,52.81940786357406
11-1-2023T11:30,2538.15,2539.55,2531.25,2532.85,159373,52.38046486467694
11-1-2023T11:45,2532.5,2538,2532.1,2537.05,100576,55.969611549959545
11-1-2023T12:0,2537,2541.9,2536.05,2538.6,126376,55.20051516337195
11-1-2023T12:15,2538.6,2540.95,2537,2538.65,94933,47.69147235909367
11-1-2023T12:30,2538.85,2539.65,2533.25,2534.55,108452,35.560972109032946
11-1-2023T12:45,2534.65,2536,2528.85,2534.15,166113,38.94089960613841
11-1-2023T13:0,2534.15,2536.75,2533.2,2535.55,120458,47.9203574117432
11-1-2023T13:15,2535.25,2537.85,2534.3,2537.3,96429,56.22725506299642
11-1-2023T13:30,2537.3,2539.4,2535.5,2535.65,94102,52.314960432435385
11-1-2023T13:45,2535.6,2536.7,2532,2532.25,106604,45.05416849639611
11-1-2023T14:0,2532.65,2535,2523,2523.7,203248,46.870254019114746
11-1-2023T14:15,2523.35,2529.4,2521.1,2529.15,162302,47.95015930970593
11-1-2023T14:30,2529.25,2531.8,2527.15,2529.8,135328,48.638131734798755
11-1-2023T14:45,2529.55,2532.4,2525.7,2532.4,174548,51.02521551192156
11-1-2023T15:0,2532.5,2532.5,2523.6,2523.7,776918,38.281223942858716
11-1-2023T15:15,2523.75,2527.25,2522.15,2524.85,578238,28.66293480961407
12-1-2023T9:15,2523.9,2532.5,2519.3,2527.9,603619,38.59292137083424
12-1-2023T9:30,2527.5,2531.9,2516.95,2522.05,361795,33.2259796331373
12-1-2023T9:45,2521.85,2523.75,2508.1,2510.45,279558,31.76820806537107
12-1-2023T10:0,2510.45,2513.05,2495.05,2499.95,685782,28.042470594270412
12-1-2023T10:15,2499.95,2500.05,2493.6,2498.35,265769,24.483775557942707
12-1-2023T10:30,2499.25,2500,2495.55,2497.8,220283,26.454640982557038
12-1-2023T10:45,2497.8,2498.35,2490.55,2494.95,341458,23.20144634061799
12-1-2023T11:0,2495,2496.9,2480.1,2482.8,340340,22.16511527894579
12-1-2023T11:15,2482.85,2484.4,2478.15,2482.7,365710,21.50827763554487
12-1-2023T11:30,2482.7,2483.65,2476.6,2479.7,309438,20.945268322680505
12-1-2023T11:45,2479.1,2482,2473.55,2473.65,179242,18.301462625136836
12-1-2023T12:0,2474,2482.8,2473.35,2480,155405,17.964852170384745
12-1-2023T12:15,2479.95,2483.7,2478.15,2478.8,190137,24.02396037998959
12-1-2023T12:30,2478.8,2480.65,2476.9,2479.25,145911,26.399400452959114
12-1-2023T12:45,2479.85,2481.15,2477.7,2478.35,152384,17.92062546050464
12-1-2023T13:0,2478.3,2481.65,2477,2479,153753,22.974974854966618
12-1-2023T13:15,2478.55,2480.45,2468.5,2470.45,781584,20.323152790570035
12-1-2023T13:30,2470.25,2475.7,2466,2470.65,278346,22.49404611209195
12-1-2023T13:45,2470.95,2471.8,2465,2470.5,236333,22.682933732504736
12-1-2023T14:0,2471.25,2474,2467.05,2468.2,317838,24.538181526253
12-1-2023T14:15,2468.15,2474.65,2468.15,2471.5,199046,30.69535517447754
12-1-2023T14:30,2471.85,2472.8,2466.7,2466.9,164479,32.19953381099057
12-1-2023T14:45,2467.55,2472.35,2466.15,2469.1,201074,39.53547319793916
12-1-2023T15:0,2469.1,2472.4,2469.1,2470.9,508631,51.269080696337085
12-1-2023T15:15,2470.95,2477,2468,2475,672663,61.36788116464502
13-1-2023T9:15,2458.4,2467.4,2451,2452.05,929445,48.64085114770994
13-1-2023T9:30,2451.75,2457.7,2445.3,2446.85,697127,40.64343074842937
13-1-2023T9:45,2447,2447.7,2439,2439.9,464297,38.43141566854211
13-1-2023T10:0,2439.85,2443,2434.6,2439.5,549076,33.49891112868356
13-1-2023T10:15,2439,2449.7,2439,2447.15,422568,36.243262472156474
13-1-2023T10:30,2447.05,2453.5,2445.7,2451.55,282673,44.08689680097692
13-1-2023T10:45,2451.5,2452,2444.3,2445.35,280064,44.094029094454044
13-1-2023T11:0,2444.95,2450.85,2443.05,2449.65,275179,48.421072073781936
13-1-2023T11:15,2449.95,2456.6,2448.8,2452.05,482350,49.7852448556982
13-1-2023T11:30,2452,2454.85,2445.15,2446.5,358491,45.35275275172875
13-1-2023T11:45,2446.3,2452.25,2441.2,2449.75,146919,45.48965632117369
13-1-2023T12:0,2449.7,2452.85,2449.5,2451.1,495446,47.91963133949137
13-1-2023T12:15,2451,2454.7,2449.5,2453.9,517770,47.96231233856854
13-1-2023T12:30,2453.9,2454.7,2448.4,2449.9,243718,40.30686329587185
13-1-2023T12:45,2450,2459.95,2449.9,2457.4,279053,50.18887874839367
13-1-2023T13:0,2457.4,2463.1,2456.45,2463,263501,59.71117003388323
13-1-2023T13:15,2463,2464.9,2459,2462.55,281505,67.71172259810817
13-1-2023T13:30,2462.55,2469.45,2458.3,2467.7,235803,77.48820567009746
13-1-2023T13:45,2467.65,2471.8,2464.5,2468.55,332095,77.05034654524263
13-1-2023T14:0,2468.55,2472.9,2465,2467.6,478845,78.02949316319383
13-1-2023T14:15,2467.6,2469.75,2463.25,2467,177761,79.74593559459122
13-1-2023T14:30,2467.45,2467.5,2463.3,2466.5,165582,75.52992823062982
13-1-2023T14:45,2466.5,2468.4,2461.2,2465.8,162364,69.71454079844538
13-1-2023T15:0,2465.8,2471,2465,2467,433876,78.74416853643918
13-1-2023T15:15,2467,2469,2465.1,2467.9,451188,73.40878221833692
16-1-2023T9:15,2472,2479.65,2466,2472,270984,72.04028824200438
16-1-2023T9:30,2471.95,2472.3,2462.1,2464.55,170868,65.27061641553522
16-1-2023T9:45,2464.5,2464.65,2456.2,2463.25,145385,66.91789856187808
16-1-2023T10:0,2463.15,2464.2,2458.5,2459,79152,62.950628767859996
16-1-2023T10:15,2459,2464.25,2458.2,2461,80627,61.000544874545255
16-1-2023T10:30,2461,2463.05,2458.7,2460.45,209425,54.01672092762557
16-1-2023T10:45,2460,2461.5,2458.4,2460,100828,49.024790606036646
16-1-2023T11:0,2460,2460,2454.2,2454.95,86737,41.99694991008577
16-1-2023T11:15,2454.95,2457.5,2452.5,2457.5,73349,30.157610009420722
16-1-2023T11:30,2457.7,2463.45,2456.5,2463.45,144286,36.14902198337697
16-1-2023T11:45,2463.45,2463.9,2459.85,2460.4,76396,40.51798228381282
16-1-2023T12:0,2460.05,2463.7,2460,2460.8,102643,45.744129168640804
16-1-2023T12:15,2460.7,2462.1,2459.95,2460.35,201199,30.801449568306836
16-1-2023T12:30,2460.25,2460.3,2455.1,2455.45,99173,36.70930597600425
16-1-2023T12:45,2455.45,2455.5,2427,2450.25,2236771,10.655413980341393
16-1-2023T13:0,2451,2453.5,2449.35,2452,188382,15.537718562059453
16-1-2023T13:15,2452,2453.45,2449.5,2450,214402,15.264636983662811
16-1-2023T13:30,2450,2454,2445.55,2446.4,176949,14.892245101746255
16-1-2023T13:45,2446.1,2448.35,2441.15,2442.9,205889,12.473881998246114
16-1-2023T14:0,2442.8,2446,2439.2,2443.7,132259,12.716340978123938
16-1-2023T14:15,2443,2446.45,2440.2,2441.9,219710,12.355682790724515
16-1-2023T14:30,2441.9,2444.85,2440,2443,110993,12.28561176186868
16-1-2023T14:45,2442.5,2443.8,2436.05,2439.3,259343,11.76543286334281
16-1-2023T15:0,2439.8,2447.75,2439.8,2444.9,324536,15.2393967304576
16-1-2023T15:15,2444.45,2445.7,2442.55,2444,358452,12.760491949560972
17-1-2023T9:15,2453.2,2462.2,2450.6,2455.6,513911,19.627925912516602
17-1-2023T9:30,2455.25,2463.5,2455.25,2459.15,235157,23.981645528609462
17-1-2023T9:45,2459.5,2466.1,2457.25,2465.4,441224,30.41394877943182
17-1-2023T10:0,2465.3,2468.7,2462.25,2464.5,187889,53.10803971323656
17-1-2023T10:15,2464.6,2468.4,2463.15,2466.5,173031,52.91888531460406
17-1-2023T10:30,2466.45,2469.8,2465.45,2465.5,132869,57.99744615536668
17-1-2023T10:45,2465.5,2467,2457.6,2460.65,169740,58.102732992466386
17-1-2023T11:0,2460.7,2461.2,2455.35,2458.3,142632,59.16498332160696
17-1-2023T11:15,2458.3,2464.4,2458.3,2464.4,165807,63.409588142817746
17-1-2023T11:30,2464.2,2466.25,2463.15,2465.8,154520,69.2061282216769
17-1-2023T11:45,2465.75,2469.75,2461.65,2469.5,145744,72.7730828852697
17-1-2023T12:0,2469,2470.35,2465.85,2469.7,175503,79.8574325260717
17-1-2023T12:15,2469.5,2472.8,2469.05,2470.5,231866,79.29880980544922
17-1-2023T12:30,2470.5,2471,2465,2465.5,123844,85.43449992302706
17-1-2023T12:45,2465.35,2470.5,2465,2467.2,116420,83.21522688041364
17-1-2023T13:0,2467.2,2468.95,2463.4,2463.4,100209,78.22730693035483
17-1-2023T13:15,2463.4,2467.6,2462.4,2464.4,101292,69.96983636735831
17-1-2023T13:30,2464.4,2471.6,2464.4,2468.9,224858,70.48803474699645
17-1-2023T13:45,2468.95,2472.1,2466,2467.9,121433,69.76708645843001
17-1-2023T14:0,2467.9,2470,2465.1,2469.95,116994,63.938055992043395
17-1-2023T14:15,2470,2471.35,2468,2468.75,133907,71.56074803224013
